subspace,n,radius,ratio1,ratio2,fd_err,h,triple
sym,8,0.1,0.9862565683132153,0.2319303309534335,6.678209640182038e-11,,
sym,8,0.1,0.9916289622995582,0.1982149680915576,4.5459269397166127e-11,,
sym,8,0.1,1.0084542260332754,0.219581486022043,5.33682555460345e-11,,
sym,8,1.0,1.0681636433241317,0.26296883983409247,6.195736167907332e-11,,
sym,8,1.0,1.0958125210673337,0.29977301914983634,7.086830224853851e-11,,
sym,8,1.0,1.085831105509872,0.3017916072211004,6.393478010479488e-11,,
sym,8,1.0,1.055106440295848,0.2557121468133013,6.531841375577648e-11,,
sym,8,1.0,1.0615142774818795,0.23748676740824004,5.292175392710591e-11,,
sym,8,3.0,1.2770259735291962,0.30462742142498733,6.493983266299787e-11,,
sym,8,3.0,2.426165769638332,1.0261731692074845,3.0605684018090757e-10,,
sym,8,3.0,1.4564276246469108,0.2692473890769166,5.647340921493227e-11,,
sym,8,3.0,2.755234128598115,0.6283959520923053,1.3954588306620723e-10,,
sym,8,3.0,1.1877820050286638,0.4009020661870102,1.8173713201296258e-10,,
sym,8,10.0,29.278498394348816,3.674440943272721,5.589377544318071e-10,,
sym,8,10.0,12.618129330318808,1.5981432772866004,2.34379926199138e-10,,
sym,8,10.0,140.32704687636155,14.816771661172162,3.4657495949889463e-09,,
sym,8,10.0,72.48929623493821,12.790936122050717,2.2180778776353284e-09,,
sym,8,10.0,28.07608259291591,6.303333237396935,1.0297319666106514e-09,,
sym,16,0.1,0.9950017151465164,0.17246431399568252,2.8640460271767894e-11,,
sym,16,0.1,1.0014424732692557,0.17537288130159925,2.4009819519151534e-11,,
sym,16,0.1,1.0014609727737322,0.20121124398977216,3.2262859401722393e-11,,
sym,16,0.1,0.9996625226617075,0.19374014833122272,2.7616419552563662e-11,,
sym,16,0.1,0.9962670362104609,0.19583744041156204,2.7839541944949878e-11,,
sym,16,1.0,1.0720402616747435,0.1830303959807291,2.4476114485807902e-11,,
sym,16,1.0,1.106489523936685,0.20260359868942618,2.6920701173717328e-11,,
sym,16,1.0,1.0151766442844512,0.1810093859112901,2.169137937754016e-11,,
sym,16,1.0,0.9647116706994413,0.1844203992271565,2.0845370604659545e-11,,
sym,16,1.0,1.026641816250402,0.19282519738682008,2.922543588135658e-11,,
sym,16,3.0,1.3744584214057298,0.21912540950626733,2.5335575149235814e-11,,
sym,16,3.0,1.4503967797974182,0.24346254221283067,3.2795412233894004e-11,,
sym,16,3.0,1.3332334358327058,0.21079513143522863,2.454566267894294e-11,,
sym,16,3.0,1.4670358816232711,0.21674733682331157,3.247409638870762e-11,,
sym,16,3.0,1.047455497672445,0.19073674870239232,2.7502411675930144e-11,,
