kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,quadratic,1.9,0.0,10000,9.97306898593569e-31,0.14291346546926328,1.4329938524520786e+29,,,,,
rate,quadratic,1.9,0.0,20000,7.166387203855866e-31,0.07145673273463164,9.971095714195353e+28,,,,,
rate,quadratic,1.9,1.0,10,5.543551192928935,184.56515704575773,33.2936687373212,,,,,
rate,quadratic,1.9,1.0,100,7.150581794819487e-05,18.45651570457577,258112.08422155667,,,,,
rate,quadratic,1.9,1.0,1000,7.619552594394118e-24,1.8456515704575773,2.4222571438321272e+23,,,,,
rate,quadratic,1.9,1.0,10000,9.446206775524256e-31,0.18456515704575774,1.9538547210715122e+29,,,,,
rate,quadratic,1.9,1.0,20000,8.003444505935168e-31,0.09228257852287887,1.1530357767139418e+29,,,,,
rate,quadratic,1.9,2.0,10,3.7705098409543645,145.24746749593402,38.521970137378034,,,,,
rate,quadratic,1.9,2.0,100,7.318620792912331e-05,14.524746749593403,198462.89568192678,,,,,
rate,quadratic,1.9,2.0,1000,9.143218663654156e-24,1.4524746749593402,1.588581361105552e+23,,,,,
rate,quadratic,1.9,2.0,10000,1.1057728656490276e-30,0.14524746749593404,1.3135379968894588e+29,,,,,
rate,quadratic,1.9,2.0,20000,1.045744036694908e-30,0.07262373374796702,6.944694992236875e+28,,,,,
rate,quadratic,1.9,3.0,10,1.6551238393009717,109.3844397645299,66.08837185906738,,,,,
rate,quadratic,1.9,3.0,100,6.654294914954271e-05,10.938443976452989,164381.7131078892,,,,,
rate,quadratic,1.9,3.0,1000,1.0708134815047486e-23,1.093844397645299,1.0215078690531487e+23,,,,,
rate,quadratic,1.9,3.0,10000,9.703318423099952e-31,0.1093844397645299,1.1272889850149273e+29,,,,,
rate,quadratic,1.9,3.0,20000,8.776344266742071e-31,0.05469221988226495,6.231776947210349e+28,,,,,
rate,quadratic,1.9,4.0,10,2.2342272346518657,117.76049022920044,52.70748131738253,,,,,
rate,quadratic,1.9,4.0,100,0.0001831125895570415,11.776049022920045,64310.42808911662,,,,,
rate,quadratic,1.9,4.0,1000,2.789594757873895e-23,1.1776049022920045,4.2214192544207484e+22,,,,,
rate,quadratic,1.9,4.0,10000,8.264648754642687e-31,0.11776049022920046,1.424869873181824e+29,,,,,
rate,quadratic,1.9,4.0,20000,8.264648754642687e-31,0.05888024511460023,7.12434936590912e+28,,,,,
rate,quadratic,1.9,5.0,10,2.554265129450929,133.5707216107435,52.29320953046726,,,,,
rate,quadratic,1.9,5.0,100,9.935578027030721e-05,13.35707216107435,134436.78993547347,,,,,
rate,quadratic,1.9,5.0,1000,1.5813070558343394e-23,1.335707216107435,8.446855474268915e+22,,,,,
rate,quadratic,1.9,5.0,10000,8.373343425879042e-31,0.13357072161074351,1.5951898162677012e+29,,,,,
rate,quadratic,1.9,5.0,20000,8.076509473200359e-31,0.06678536080537176,8.269087162836907e+28,,,,,
rate,quadratic,1.9,6.0,10,1.951671993060099,116.76503830005547,59.82820818009241,,,,,
rate,quadratic,1.9,6.0,100,5.198497479972663e-05,11.676503830005545,224613.05165559007,,,,,
rate,quadratic,1.9,6.0,1000,7.075079698097171e-24,1.1676503830005547,1.6503706429124636e+23,,,,,
rate,quadratic,1.9,6.0,10000,1.0412662495742076e-30,0.11676503830005547,1.12137542485222e+29,,,,,
rate,quadratic,1.9,6.0,20000,8.636955087017045e-31,0.058382519150027734,6.759618240667658e+28,,,,,
rate,quadratic,1.9,7.0,10,1.3942114967656316,95.94863959474952,68.81928589553051,,,,,
rate,quadratic,1.9,7.0,100,5.191705367092075e-05,9.594863959474951,184811.4113002743,,,,,
rate,quadratic,1.9,7.0,1000,7.906509415870605e-24,0.9594863959474952,1.2135398131842278e+23,,,,,
rate,quadratic,1.9,7.0,10000,9.968374531696246e-31,0.09594863959474953,9.625304435508871e+28,,,,,
rate,quadratic,1.9,7.0,20000,9.791429718055668e-31,0.047974319797374765,4.899623566608336e+28,,,,,
rate,nonconvex_sin,0.1,0.0,10,23.493782164556862,1059.5640880389678,45.09976642404751,,,,,
rate,nonconvex_sin,0.1,0.0,100,23.256950868063488,105.95640880389675,4.555902852656253,,,,,
rate,nonconvex_sin,0.1,0.0,1000,1.0545602747180103,10.595640880389675,10.047449287071764,,,,,
rate,nonconvex_sin,0.1,0.0,10000,2.257395212895656e-06,1.0595640880389676,469374.65003295545,,,,,
rate,nonconvex_sin,0.1,0.0,20000,7.402138943005183e-12,0.5297820440194838,71571480635.35246,,,,,
rate,nonconvex_sin,0.1,1.0,10,28.528985616145146,1045.4852828362884,36.646423286940376,,,,,
rate,nonconvex_sin,0.1,1.0,100,23.797880000772757,104.54852828362881,4.393186631760222,,,,,
rate,nonconvex_sin,0.1,1.0,1000,1.2463514297209153,10.454852828362883,8.388366699032831,,,,,
