kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,nonconvex_sin,0.1,1.0,10000,4.5805760033847835e-06,1.0454852828362882,228243.1908265979,,,,,
rate,nonconvex_sin,0.1,1.0,20000,1.5086684459890583e-11,0.5227426414181441,34649272529.554535,,,,,
rate,nonconvex_sin,0.1,2.0,10,24.469505516193195,1158.376615007012,47.33960047702773,,,,,
rate,nonconvex_sin,0.1,2.0,100,24.469505516193195,115.83766150070119,4.733960047702772,,,,,
rate,nonconvex_sin,0.1,2.0,1000,0.8540367340667936,11.583766150070119,13.563545557238479,,,,,
rate,nonconvex_sin,0.1,2.0,10000,2.649357971014719e-06,1.158376615007012,437229.1806846122,,,,,
rate,nonconvex_sin,0.1,2.0,20000,8.723112856998286e-12,0.579188307503506,66396975139.30947,,,,,
rate,nonconvex_sin,0.1,3.0,10,28.862068208260634,1031.7499372981988,35.74760927918883,,,,,
rate,nonconvex_sin,0.1,3.0,100,25.198248141855615,103.17499372981986,4.094530427233978,,,,,
rate,nonconvex_sin,0.1,3.0,1000,1.0120806840238736,10.317499372981986,10.19434471564187,,,,,
rate,nonconvex_sin,0.1,3.0,10000,4.8384329806159724e-06,1.0317499372981986,213240.51432181837,,,,,
rate,nonconvex_sin,0.1,3.0,20000,1.590871410278023e-11,0.5158749686490993,32427194637.871094,,,,,
rate,nonconvex_sin,0.1,4.0,10,24.784986381664226,977.411548401188,39.435629834530424,,,,,
rate,nonconvex_sin,0.1,4.0,100,20.25679864647863,97.74115484011878,4.825103736572401,,,,,
rate,nonconvex_sin,0.1,4.0,1000,1.3868087714038957,9.774115484011878,7.047918707723008,,,,,
rate,nonconvex_sin,0.1,4.0,10000,8.751470062602929e-08,0.9774115484011879,11168541.301168306,,,,,
rate,nonconvex_sin,0.1,4.0,20000,2.0362403192927593e-13,0.48870577420059397,2400039767262.513,,,,,
rate,nonconvex_sin,0.1,5.0,10,28.474601769921023,1191.3405588883,41.83870835190277,,,,,
