subspace,n,m,B,radius,lambda_max,bound,ratio,B_eff,ratio_eff,kind,random_dir_lambda_max,random_dir_ratio_eff
so,32,4.0,2.0,0.1,0.5197472969078641,4.0,0.12993682422696604,1.4097487988555513,0.2615223275900653,random_features,,
so,32,4.0,2.0,1.0,0.5519390472404753,4.0,0.13798476181011882,1.4097487988555513,0.277720317509915,random_features,,
so,32,4.0,2.0,10.0,0.7737532877258884,4.0,0.1934383219314721,1.4097487988555513,0.3893310498975258,random_features,,
so,32,4.0,2.0,100.0,0.987513545708118,4.0,0.2468783864270295,1.4097487988555513,0.496889243170199,random_features,,
so,32,4.0,2.0,1000.0,0.9222486672379886,4.0,0.23056216680949715,1.4097487988555513,0.464049778628613,random_features,,
so,32,4.0,2.0,10000.0,0.41706381701763123,4.0,0.10426595425440781,1.4097487988555513,0.20985486760382932,random_features,,
sym,32,4.0,2.0,0.01,0.5769024067355747,4.0,0.14422560168389367,1.498912360586455,0.2567733036797521,random_features,,
sym,32,4.0,2.0,0.1,0.579867031169474,4.0,0.1449667577923685,1.498912360586455,0.25809282740018435,random_features,,
sym,32,4.0,2.0,1.0,0.614824351865658,4.0,0.1537060879664145,1.498912360586455,0.2736519698446463,random_features,,
sym,32,4.0,2.0,10.0,0.8426428949686939,4.0,0.21066072374217348,1.498912360586455,0.37505165074229796,random_features,,
sym,32,4.0,2.0,100.0,1.0213142944084257,4.0,0.2553285736021064,1.498912360586455,0.4545764455283473,random_features,,
sym,32,4.0,2.0,1000.0,1.124394607036528,4.0,0.281098651759132,1.498912360586455,0.5004564281889003,random_features,,
sym,32,4.0,2.0,10000.0,0.9267494373737202,4.0,0.23168735934343004,1.498912360586455,0.41248660421497174,random_features,,
sl,32,4.0,2.0,0.01,1.0586109855308452,4.0,0.2646527463827113,1.9999976006388196,0.26465338138137995,random_features,,
sl,32,4.0,2.0,0.1,1.0609491014456882,4.0,0.26523727536142205,1.9999976006388196,0.2652379117625894,random_features,,
sl,32,4.0,2.0,1.0,1.1196761482339828,4.0,0.2799190370584957,1.9999976006388196,0.2799197086865755,random_features,,
sl,32,4.0,2.0,10.0,1.674311965594267,4.0,0.4185779913985668,1.9999976006388196,0.4185789957201576,random_features,,
sl,32,4.0,2.0,100.0,2.009637802849711,4.0,0.5024094507124277,1.9999976006388196,0.5024106561763297,random_features,,
sl,32,4.0,2.0,1000.0,1.3482882692585947,4.0,0.33707206731464867,1.9999976006388196,0.33707287607373737,random_features,,
sl,32,4.0,2.0,10000.0,1.3344243238834147e-05,4.0,3.336060809708537e-06,1.9999976006388196,3.3360688141377435e-06,random_features,,
gl,32,4.0,2.0,0.01,1.0606955693238411,4.0,0.2651738923309603,2.0000000000000004,0.26517389233096017,random_features,,
gl,32,4.0,2.0,0.1,1.0636509598745456,4.0,0.2659127399686364,2.0000000000000004,0.2659127399686363,random_features,,
gl,32,4.0,2.0,1.0,1.1251405312767477,4.0,0.28128513281918693,2.0000000000000004,0.2812851328191868,random_features,,
gl,32,4.0,2.0,10.0,1.6963245146092225,4.0,0.42408112865230563,2.0000000000000004,0.42408112865230546,random_features,,
gl,32,4.0,2.0,100.0,1.8316064487685417,4.0,0.45790161219213543,2.0000000000000004,0.4579016121921352,random_features,,
gl,32,4.0,2.0,1000.0,0.020354449966833478,4.0,0.0050886124917083695,2.0000000000000004,0.005088612491708367,random_features,,
gl,32,4.0,2.0,10000.0,9.425932121060599e-26,4.0,2.3564830302651496e-26,2.0000000000000004,2.3564830302651485e-26,random_features,,
so,32,16.0,0.5,0.01,0.009933706032145941,0.25,0.039734824128583764,0.36374699042978403,0.07507796393025055,random_features,,
so,32,16.0,0.5,0.1,0.009938158850403481,0.25,0.039752635401613924,0.36374699042978403,0.07511161788854626,random_features,,
so,32,16.0,0.5,1.0,0.01001767415038254,0.25,0.04007069660153016,0.36374699042978403,0.07571258663116982,random_features,,
