geom,arm,seed,auc,r_task,r_geo,rho,menv_orth,menv_sym,menv_cond,recon_err,status
sym,baseline_ppo,4,8.010012073544713,0.1581831048555074,0.7806795467073718,,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,so,4,7.215967558752886,0.13511522381192556,0.7143263417840005,1.0000011920928955,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sl,4,9.12647084700415,0.15230240668662826,0.9289421366511533,6.4694318771362305,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,gl,4,9.167943868923025,0.1593716942531883,0.9236259102479867,6.446793794631958,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sym,4,9.549813261268033,0.16384205605160004,0.965504225614046,7.094305038452148,115.92333743611619,2.220446049250313e-15,1002.8196212573579,1.7763568394002505e-15,ok
sym,baseline_ppo,5,8.050287598769849,0.16367108965236415,0.778051132880648,,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,so,5,7.676789025019801,0.1656938281379664,0.7267319592636702,1.0000012516975403,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sl,5,9.254806005676945,0.15705497433499718,0.9384826130235878,6.667357444763184,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,gl,5,9.07643989770863,0.144291030615953,0.9354470046142116,6.624002695083618,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sym,5,9.367329667704583,0.14745097315819367,0.9675764885865152,7.068605661392212,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,baseline_ppo,6,8.054608476024626,0.1598151310470536,0.7844386644557119,,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,so,6,7.665016246173894,0.1642673055680521,0.7272899246173289,1.0000011920928955,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sl,6,9.11847121018494,0.15284793822788517,0.9276357277249296,6.480947971343994,115.92333743611619,2.220446049250313e-15,1002.8196212573579,1.7763568394002505e-15,ok
sym,gl,6,9.01107165187444,0.14360477000332048,0.9281435775533318,6.350227117538452,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sym,6,9.325014464307804,0.1444260957788767,0.9666264470361174,7.179865837097168,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,baseline_ppo,7,7.982913639960452,0.1525074087857205,0.7857265963022907,,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,so,7,7.602228615371283,0.15756112916491577,0.7289222967664402,1.0000011920928955,115.92333743611619,2.220446049250313e-15,1002.8196212573579,2.6645352591003757e-15,ok
sym,sl,7,9.072006755189573,0.14989643644548314,0.9260702433779835,6.278559684753418,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,gl,7,8.955999779382308,0.14238527135218806,0.9227814861236141,6.1898579597473145,115.92333743611619,2.220446049250313e-15,1002.8196212573579,3.552713678800501e-15,ok
sym,sym,7,9.273992432333197,0.1401108537845792,0.9665403981552768,6.732530832290649,115.92333743611619,2.220446049250313e-15,1002.8196212573579,1.7763568394002505e-15,ok
sym,baseline_ppo,8,8.181650670859888,0.16928570002093196,0.7861673047557474,,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,so,8,7.5424454075002965,0.15778009008777796,0.721491573404583,1.000001311302185,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sl,8,9.014479726147044,0.1443064199517091,0.927206987693937,6.600623607635498,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,gl,8,9.137081128383253,0.15584797860058902,0.9252994209315628,6.348786115646362,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sym,8,9.502960763821626,0.15804341162387822,0.9683963939423363,7.38057804107666,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,baseline_ppo,9,8.084803789171252,0.15987209659157137,0.7878711366529265,,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,so,9,7.313462426924785,0.1396282037774471,0.7198832830242191,1.0000014305114746,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,sl,9,8.922630742490204,0.1528816170219796,0.9027673970206175,6.936418294906616,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
sym,gl,9,8.914050917744307,0.14443970176273035,0.9142716781919512,6.589402198791504,115.92333743611619,2.220446049250313e-15,1002.8196212573579,1.7763568394002505e-15,ok
sym,sym,9,9.349420464353365,0.14526802975942782,0.9684939492418121,6.958582878112793,115.92333743611619,2.220446049250313e-15,1002.8196212573579,0.0,ok
gl,baseline_ppo,0,5.692249109432804,0.17321180912527198,0.46334465427007515,,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,so,0,8.214451422867079,0.16231296716956897,0.7981080630488695,1.0000008344650269,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sl,0,7.816933478755342,0.14157040787043326,0.7801625982845823,3.061331033706665,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
gl,gl,0,7.780795024158532,0.14979377520244827,0.7628569333100071,2.9713927507400513,10.42094405394354,2.508319615094323,437.8852052281773,0.0,ok
gl,sym,0,6.3466001105925995,0.14323513765063436,0.5908607682095686,2743.2884521484375,10.42094405394354,2.508319615094323,437.8852052281773,8.881784197001252e-16,ok
