arm,seed,auc,auc_task,auc_geo,r_task,r_geo,rho,recon_err,status
gl,17,9.14176566123869,2.0431599007134,7.098605760525292,0.17323862199725637,0.8998203898382683,4.2783684730529785,1.7763568394002505e-15,ok
sym,17,6.629401812039041,1.7591635631505753,4.870238248888466,0.14898637855010047,0.6183033444450392,18023.630859375,0.0,ok
baseline_ppo,18,6.05502355312684,2.2910581521013507,3.763965401025489,0.19409229855171217,0.4783685989553497,,0.0,ok
so,18,9.694937695871026,2.2264360383902773,7.468501657480747,0.18853448224660357,0.9459037151740864,1.0000009536743164,0.0,ok
sl,18,9.343563120858589,2.1963474917373014,7.147215629121289,0.18574668839248248,0.9058218821068916,5.449533462524414,1.7763568394002505e-15,ok
gl,18,9.267068015702923,2.1697908740536476,7.097277141649276,0.18383422961812862,0.89968208191519,5.594897985458374,0.0,ok
sym,18,6.241513711937157,1.6251175999558962,4.616396111981261,0.13787132373138947,0.585806817835771,74422.11328125,0.0,ok
baseline_ppo,19,5.944660899944348,2.1859942628233933,3.758666637120955,0.18457724931784134,0.47772517566947115,,8.881784197001252e-16,ok
so,19,9.64355971102188,2.1303355547378584,7.513224156284023,0.1804498064913453,0.9514129541316846,1.0000008940696716,1.7763568394002505e-15,ok
sl,19,8.697625341912932,1.8727010006911582,6.824924341221775,0.15894929507024472,0.8649586222286026,4.832568883895874,0.0,ok
gl,19,8.77970595879041,1.9158545723111227,6.863851386479291,0.16239216578002105,0.8698067774796859,5.8695948123931885,1.7763568394002505e-15,ok
sym,19,5.963310078409804,1.457930951607841,4.505379126801963,0.12371471338387667,0.5713627165652967,2128181.0,8.881784197001252e-16,ok
