draw,m_env_seed,arm,seed,auc,r_task,r_geo,rho,recon_err,status
5,900005,baseline_ppo,0,6.888268663471752,0.19809275256854078,0.5776329956114912,,0.0,ok
5,900005,so,0,8.798138406844403,0.15482657942022574,0.8833651902625957,1.0000008344650269,1.7763568394002505e-15,ok
5,900005,sl,0,8.171931658113824,0.15960704485531146,0.7976664051347722,2.4295706748962402,0.0,ok
5,900005,gl,0,8.20454741137908,0.16165183780962442,0.7990743849494806,2.613099217414856,0.0,ok
5,900005,sym,0,7.222016324217315,0.1600875618061801,0.6767260490280265,684.4421081542969,0.0,ok
5,900005,baseline_ppo,1,6.8369384157905,0.1838482148478932,0.5936735557930545,,0.0,ok
5,900005,so,1,8.559861168490146,0.139059123231069,0.8769257592398053,1.0000009536743164,1.7763568394002505e-15,ok
5,900005,sl,1,8.144081932398315,0.16013691736371213,0.7934241403605479,3.7120628356933594,0.0,ok
5,900005,gl,1,8.017655896923115,0.1535611268838078,0.7876403645826814,3.4923638105392456,0.0,ok
5,900005,sym,1,6.554768126353555,0.14434406771719163,0.6156620283783103,15830.00048828125,1.7763568394002505e-15,ok
5,900005,baseline_ppo,2,7.034827829763985,0.19249371758492648,0.605184616187339,,0.0,ok
5,900005,so,2,8.73227441795519,0.1495965964054538,0.8824510039672877,1.0000008344650269,0.0,ok
5,900005,sl,2,8.082652399359999,0.15615874749251965,0.7914958500624946,2.7843270301818848,0.0,ok
5,900005,gl,2,7.874543931572926,0.13882256160493253,0.7907252462469041,2.636579751968384,0.0,ok
5,900005,sym,2,6.98145211320257,0.15525853292212013,0.6532466480310385,1012.4672241210938,0.0,ok
6,900006,baseline_ppo,0,6.465409949329128,0.20388964812609492,0.5153133363886425,,0.0,ok
6,900006,so,0,8.588719121112819,0.14360924038691286,0.8728927430267136,1.0000010132789612,0.0,ok
6,900006,sl,0,7.927519089985904,0.14163597656991384,0.7936663791931546,2.3601900339126587,0.0,ok
6,900006,gl,0,7.940567022482378,0.14227552580240047,0.7941609201719986,2.298263907432556,0.0,ok
6,900006,sym,0,6.918588895297785,0.14465911022301045,0.6614832198255697,323.28399658203125,0.0,ok
6,900006,baseline_ppo,1,6.256962019323373,0.17698530829566514,0.5304609139163978,,0.0,ok
6,900006,so,1,8.619509387556885,0.15158226830306146,0.8658601000073988,1.0000009536743164,1.7763568394002505e-15,ok
6,900006,sl,1,7.784956002037688,0.1538620079816184,0.7577729738693063,2.5186052322387695,8.881784197001252e-16,ok
6,900006,gl,1,7.711645094689058,0.1437826544960548,0.7634631891998772,2.3447920083999634,8.881784197001252e-16,ok
6,900006,sym,1,6.283150686072565,0.13676331374958042,0.5930711928726172,10113.99072265625,0.0,ok
6,900006,baseline_ppo,2,6.001565734344913,0.16237909021294025,0.5196405258662067,,0.0,ok
6,900006,so,2,8.568413908480265,0.1422410120178255,0.8727056960365114,1.0000008940696716,1.7763568394002505e-15,ok
6,900006,sl,2,8.145169916412142,0.14256645797012668,0.8194675800885384,2.3412476778030396,1.7763568394002505e-15,ok
6,900006,gl,2,8.112311387131305,0.13857595575737428,0.8213959264212909,2.1568304300308228,0.0,ok
6,900006,sym,2,6.514350866833441,0.1350979033155698,0.6239137891855714,2046.181640625,0.0,ok
7,900007,baseline_ppo,0,6.465298905112675,0.18839682483224432,0.5389254819714153,,0.0,ok
7,900007,so,0,8.806083287986466,0.15192246419394445,0.8885491985573123,1.0000008344650269,0.0,ok
7,900007,sl,0,8.086368505261674,0.14085194765305228,0.8154846135087,2.0513815879821777,0.0,ok
7,900007,gl,0,8.11208601070467,0.14888493631147784,0.8064396252427561,2.2017669677734375,0.0,ok
7,900007,sym,0,6.706248270234337,0.14381982206887636,0.6351380859475894,851.2271118164062,0.0,ok
7,900007,baseline_ppo,1,6.641621670579613,0.19388505759519795,0.5537219309793786,,0.0,ok
7,900007,so,1,8.514372767656768,0.14407530537431554,0.8635737598101298,1.0000008940696716,0.0,ok
7,900007,sl,1,8.114228460953603,0.15655098986320892,0.7954746085878772,2.1802427768707275,1.7763568394002505e-15,ok
7,900007,gl,1,8.291694168077367,0.1650337751363389,0.8049829712859666,2.0675275325775146,0.0,ok
7,900007,sym,1,6.686221378186818,0.14759062498028375,0.6278878052734771,2634.4444580078125,0.0,ok
7,900007,baseline_ppo,2,6.499989382811006,0.1837889465911037,0.5509001907600091,,0.0,ok
7,900007,so,2,8.743438460618048,0.13706286081977453,0.9028487005168572,1.0000008940696716,0.0,ok
7,900007,sl,2,8.152727982728242,0.1497939332241801,0.8096842668665574,1.972227692604065,0.0,ok
7,900007,gl,2,8.371521099682692,0.16383901904092968,0.8162129872525732,2.157867193222046,1.7763568394002505e-15,ok
7,900007,sym,2,6.7888882615927155,0.14956290432252847,0.6379078666466909,651.7188720703125,0.0,ok
8,900008,baseline_ppo,0,6.2370887540724045,0.18171528139207369,0.5200176956200971,,0.0,ok
8,900008,so,0,8.831079488718506,0.15849839161093807,0.8815256157234622,1.0000008344650269,0.0,ok
8,900008,sl,0,8.175573796773199,0.1623512153126844,0.7935273315398643,2.0190314054489136,0.0,ok
8,900008,gl,0,8.095510601199054,0.15864619913604194,0.7888915743925918,2.2816778421401978,0.0,ok
8,900008,sym,0,6.633649712429294,0.14554504594575432,0.6236928415271143,1672.3134765625,8.881784197001252e-16,ok
8,900008,baseline_ppo,1,6.021880172030058,0.16456315723307377,0.5186181046428779,,0.0,ok
8,900008,so,1,8.581009244194632,0.1422831970746678,0.8749725304476605,1.0000008344650269,0.0,ok
8,900008,sl,1,8.343883668518739,0.15758397543325037,0.8221531317121039,2.122010588645935,0.0,ok
8,900008,gl,1,8.139264491188486,0.14425986149730521,0.8164472847073961,2.2460440397262573,1.7763568394002505e-15,ok
8,900008,sym,1,6.764203699667193,0.15407337455272765,0.6277009530879092,740.96142578125,8.881784197001252e-16,ok
8,900008,baseline_ppo,2,6.387682007701055,0.18533790155827837,0.5340418352896348,,1.7763568394002505e-15,ok
8,900008,so,2,8.660209299352056,0.14198279275832876,0.8847150237979367,1.0000008940696716,0.0,ok
