arm,theta_lr,seed,auc,r_task,r_geo,rho,orth_err,recon_err,status
so_cayley,0.0003,7,7.070239260893926,0.15534412880431886,0.665766745020449,1.0000009536743164,6.029887602565509e-07,8.881784197001252e-16,ok
so_cayley,0.003,7,7.911615667250074,0.1499403242958621,0.779243209344242,1.0000010132789612,2.1172822384230017e-07,8.881784197001252e-16,ok
so_cayley,0.01,7,8.180118054193548,0.1532196230633471,0.8077653386966944,1.0000008344650269,1.938134018830695e-07,1.7763568394002505e-15,ok
so_cayley,0.03,7,8.494384368566918,0.1513337271668124,0.8499514890160101,1.0000006556510925,2.6858182144984255e-07,1.7763568394002505e-15,ok
so_cayley,0.1,7,8.28636600508212,0.14589874320269483,0.8320410536605557,1.000000774860382,2.5380009224806876e-07,0.0,ok
baseline_ppo,,8,6.540013775730275,0.19677781095452598,0.5357911716757031,,,0.0,ok
so_expm,0.0003,8,6.82615726529949,0.1574704471602595,0.6308459993109107,1.0000009536743164,2.4141715634362626e-06,8.881784197001252e-16,ok
so_expm,0.003,8,7.921107705415704,0.1477935642286751,0.7829056147240258,1.000001072883606,2.9823117699834256e-06,0.0,ok
so_expm,0.01,8,8.450325593703038,0.15314886898365254,0.8420607711274488,1.0000009536743164,1.2561181838011137e-06,0.0,ok
so_expm,0.03,8,9.014900698889427,0.17150935304776235,0.8858850026334015,1.0000008344650269,1.479963694928088e-06,0.0,ok
so_expm,0.1,8,8.708455013522853,0.15435497915016158,0.8723185780390786,1.0000009536743164,2.0494296149031754e-06,0.0,ok
so_cayley,0.0003,8,6.9985457324907,0.1709093210212599,0.632812118730011,1.0000009536743164,3.612254484419708e-07,1.7763568394002505e-15,ok
so_cayley,0.003,8,8.167655548475476,0.1678390690115676,0.7843448710059125,1.0000011920928955,2.060519674884631e-07,0.0,ok
so_cayley,0.01,8,8.38430448213004,0.16338615684002025,0.8182393408395663,1.000001072883606,3.8036331906354803e-07,0.0,ok
so_cayley,0.03,8,8.35708983462918,0.15720957809996877,0.8236693720879965,1.0000008344650269,2.824527053357784e-07,0.0,ok
so_cayley,0.1,8,8.588123527455322,0.1592558028694804,0.8494963000982066,1.0000007152557373,2.1906849467789868e-07,0.0,ok
baseline_ppo,,9,6.397694755956924,0.1800872858010328,0.5433824560102074,,,0.0,ok
so_expm,0.0003,9,7.094259728741782,0.15208681940088856,0.6734002259786551,1.000001072883606,2.2419929288641782e-06,0.0,ok
so_expm,0.003,9,7.968753774858398,0.14220637435254824,0.7976373862219351,1.0000009536743164,1.6280315062733308e-06,0.0,ok
so_expm,0.01,9,8.519931604780414,0.15549778315810298,0.8478669834919275,1.000001072883606,1.6785615650771746e-06,0.0,ok
so_expm,0.03,9,8.709428865239808,0.15644241727705177,0.8695383861795069,1.0000009536743164,1.8497498071035068e-06,0.0,ok
so_expm,0.1,9,8.871262404386057,0.1619899565493144,0.8822575262961289,1.0000009536743164,1.7742468128023603e-06,3.552713678800501e-15,ok
so_cayley,0.0003,9,6.959593115154893,0.14989884315025126,0.65972102653527,1.0000015497207642,3.336074376747433e-07,0.0,ok
so_cayley,0.003,9,8.022350406925364,0.1512330948313777,0.7915552309351974,1.0000011324882507,3.547445370788438e-07,0.0,ok
so_cayley,0.01,9,8.200361801368823,0.15260579873343078,0.8111442103749452,1.0000009536743164,2.468719375592343e-07,0.0,ok
so_cayley,0.03,9,8.658225691926173,0.16934949990070775,0.8447777607181111,1.0000007152557373,2.981489301279172e-07,0.0,ok
so_cayley,0.1,9,8.187471120567123,0.1340002839271493,0.8376333928980865,1.0000008344650269,1.9157748587517176e-07,0.0,ok
