w,arm,seed,r_task,r_geo,auc,rho,align_env,align_ref,frob_env,frob_ref,gref_orth,recon_err,status
0.4,so+M_env,12,0.15404396555353275,0.8690771241221579,8.676411183535691,1.000001072883606,0.7745643984749787,0.7745643984749787,0.7665653288894035,0.7665653288894035,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,12,0.1506625991166225,0.5074079859583018,5.767424221695867,1.0000009536743164,0.03287836240009105,0.7606596363157295,0.023047916401573082,0.7512271256010246,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+G_rand,12,0.15095591993285673,0.5359302876659668,5.999570918805696,1.0000008344650269,0.07044748183930506,0.7677563326305996,0.029293481771377427,0.8004271250663959,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+no_aux,12,0.15765718498961903,0.5448643008590366,6.143440140787922,1.0000008940696716,0.033348598043862324,,0.03014245866661444,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,13,0.15848459115279429,0.5636923866289979,6.302671346815771,,,,,,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+M_env,13,0.14808625057875374,0.9049831062156707,8.8927099355878,1.0000008344650269,0.8498645287740895,0.8498645287740895,0.8348839947252156,0.8348839947252156,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,13,0.14546525090599197,0.5085320168082602,5.716769264100164,1.0000009536743164,0.016042826779645386,0.7656036468217707,0.04055947560622777,0.7537485838416157,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+G_rand,13,0.14317501943169916,0.5195341635803071,5.773766407837555,1.0000008344650269,-0.07479973278798174,0.7865125159817618,-0.048116405320047594,0.7639067971395237,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,13,0.138883705376422,0.5029308199276682,5.592162187444313,1.0000009536743164,0.008210621057302928,,0.0057955858119785085,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,14,0.1870797919010921,0.5610417474678407,6.620249443007816,,,,,,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,so+M_env,14,0.17173720800104939,0.8765551085378974,8.94845826118567,1.0000009536743164,0.7727023786302435,0.7727023786302435,0.7600099509070637,0.7600099509070637,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,14,0.15921658557663532,0.5251201742533594,6.0066984105733825,1.0000009536743164,0.02201489899442298,0.7652018763444934,0.025339230230779834,0.7415348129417455,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,14,0.16830856388336493,0.48885591972428366,5.833611708337642,1.0000009536743164,-0.07331643672874733,0.8251669248156587,-0.052439410427770505,0.8179384075737441,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,14,0.17232411980471782,0.5473481998308561,6.334893729890569,1.0000009536743164,0.052677750167483446,,0.06451447597195759,,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,baseline_ppo,15,0.1962714811753,0.5361394236992424,6.535590775370722,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,15,0.15653672989792786,0.8643409925706995,8.670538001102129,1.0000008344650269,0.7759568149463953,0.7759568149463953,0.7718125577340639,0.7718125577340639,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,15,0.16676074642869723,0.5005171251003088,5.9087597052764895,1.0000009536743164,-0.05928780499144787,0.6620229795549302,0.00930103219991045,0.7390688570190779,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+G_rand,15,0.17324454128811473,0.5348357114353217,6.254701533963702,1.0000009536743164,0.014667113738626057,0.8013196859636273,0.027065585221058418,0.825988415448592,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,15,0.15511207581080397,0.51468436038744,5.8841819227576595,1.000001072883606,-0.09097164059662106,,-0.015898566262179913,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,16,0.18445552182468755,0.5611018486090315,6.592810475779967,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,16,0.14947471727136713,0.8974201322536295,8.842251360434169,1.0000008344650269,0.8348135234090961,0.8348135234090961,0.8098608399454901,0.8098608399454901,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,16,0.17941818993866898,0.5230079286589597,6.230429416841075,1.0000009536743164,-0.005538632310242016,0.7625490035033421,0.04269444982714533,0.7176868755380271,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,16,0.16591901663403513,0.49791351242028176,5.8741955352714905,1.0000008344650269,-0.03419233993670304,0.7896853975670861,-0.009560188744737979,0.7955946871701319,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,16,0.18305011404955585,0.5586007782018587,6.553890709700312,1.0000009536743164,0.051786500304685,,0.015629176657765212,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,17,0.18146252230284998,0.5428877940817736,6.413282385812729,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,17,0.16760148342312411,0.8936034376729901,9.030471932198642,1.0000009536743164,0.7970553946433572,0.7970553946433572,0.8136969460988069,0.8136969460988069,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,17,0.16260788143030278,0.5234642881499448,6.037936783806599,1.0000009536743164,0.01206733251296451,0.8286128230995183,0.035553161676078304,0.8166079953536654,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,17,0.1668678948240825,0.5134258081651294,6.005101097815275,1.000001072883606,-0.033652584622883244,0.7368841782006448,0.009646982971585009,0.7927505634964986,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,17,0.16405091468337482,0.5116442892111527,5.954706923937962,1.0000009536743164,-0.028282192812511403,,0.009748631210907006,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,18,0.1975184367920597,0.532270312868276,6.519485472225772,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,18,0.15957374070097038,0.89115561338601,8.917928605241382,1.0000009536743164,0.84505588763057,0.84505588763057,0.8474553734744305,0.8474553734744305,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,18,0.1715024938548914,0.5292666350671789,6.187413023226908,1.0000008940696716,0.038990016253744486,0.8093411837882694,0.0392114425129467,0.777545136308023,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,18,0.16586701471112023,0.5087095375384204,5.961544502318303,1.000001072883606,-0.05984959712365429,0.7933823568414637,-0.014021844014618923,0.7743161289173843,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+no_aux,18,0.15993286801538611,0.5328473202206816,6.083858980364164,1.0000008344650269,0.03552105653436713,,0.021252709809272033,,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,baseline_ppo,19,0.1780427614125024,0.5499981379600242,6.431351293182613,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,19,0.15000024414324384,0.8675091586170409,8.621145012172455,1.0000008940696716,0.759299024753979,0.759299024753979,0.7477338767299843,0.7477338767299843,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,so+G_ref,19,0.164721632320439,0.5200117562717758,6.037386990259167,1.0000008344650269,0.030178502988150616,0.8806943727998994,0.04761862624244495,0.8521161992910528,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,19,0.15285353606006857,0.49557859801203014,5.7028801250040155,1.0000009536743164,0.024693709038154744,0.77579671238105,-0.007762539283217434,0.7385100617773632,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+no_aux,19,0.15739041762408454,0.5103759404742625,5.872749670881698,1.0000009536743164,-0.01037238302451849,,0.021207372839202952,,1.1920928955078125e-07,0.0,ok
