w,c_geo,arm,seed,r_task,r_geo,auc,rho,recon_err,status
0.8,,baseline_ppo,2,0.1623973716801835,0.5449240940318755,9.205132340945541,,0.0,ok
0.8,0.0,so(32),2,0.1412579566855765,0.5250266930604509,8.814299388690374,1.000001072883606,0.0,ok
0.8,0.05,so(32),2,0.138564756599359,0.7874611161092607,12.964008842488415,1.000001072883606,0.0,ok
0.8,0.25,so(32),2,0.1371343731335434,0.84903155595238,13.936141021890045,1.000001072883606,0.0,ok
0.8,1.0,so(32),2,0.13841125304578608,0.8632304383190968,14.167944740381255,1.0000008344650269,1.7763568394002505e-15,ok
0.8,,baseline_ppo,3,0.1484326316952465,0.5635728310259059,9.443954275265282,,0.0,ok
0.8,0.0,so(32),3,0.14364363953002254,0.533886120175384,8.966538103263714,1.0000009536743164,1.7763568394002505e-15,ok
0.8,0.05,so(32),3,0.13561767820016254,0.7813765118717217,12.862629575560192,1.0000011324882507,1.7763568394002505e-15,ok
0.8,0.25,so(32),3,0.14085922433048023,0.862002175385536,14.161485899983926,1.0000010132789612,0.0,ok
0.8,1.0,so(32),3,0.14589237517921913,0.8541018090513536,14.052057688937753,1.0000008344650269,0.0,ok
